(YYYY-MM-DD), rate (No Commas), mandi/city/trader
2023-10-03, 54500, Rajkot (G.J.)
2023-10-04, 54500, Rajkot (G.J.)
2023-10-05, 55000, Rajkot (G.J.)
2023-10-06, 55500, Rajkot (G.J.)
2023-10-07, 55000, Rajkot (G.J.)
2023-10-09, 54000, Rajkot (G.J.)
2023-10-10, 54000, Rajkot (G.J.)
2023-10-11, 53000, Rajkot (G.J.)
2023-10-12, 51000, Rajkot (G.J.)
2023-10-13, 51500, Rajkot (G.J.)
2023-10-14, 52500, Rajkot (G.J.)
2023-10-16, 53750, Rajkot (G.J.)
2023-10-17, 54500, Rajkot (G.J.)
2023-10-18, 54000, Rajkot (G.J.)
2023-10-19, 53000, Rajkot (G.J.)
2023-10-20, 51500, Rajkot (G.J.)
