date(YYYY-MM-DD), rate (No Commas), mandi/city/trader
2023-10-28,  12500, Solapur (M.H.)
2023-10-30,  12500, Solapur (M.H.)
2023-10-31,  12600, Solapur (M.H.)
2023-11-01,  12500, Solapur (M.H.)
2023-11-02,  12500, Solapur (M.H.)
2023-11-03,  12500, Solapur (M.H.)
2023-11-04,  12400, Solapur (M.H.)
2023-11-06,  12300, Solapur (M.H.)
2023-11-07,  12200, Solapur (M.H.)
2023-11-08,  12000, Solapur (M.H.)
2023-11-09,  11900, Solapur (M.H.)
2023-11-14,  11650, Solapur (M.H.)
2023-11-15,  11650, Solapur (M.H.)
2023-11-16,  11550, Solapur (M.H.)
2023-11-17,  11500, Solapur (M.H.)
2023-11-18,  11350, Solapur (M.H.)
2023-11-20,  11250, Solapur (M.H.)
2023-11-21,  11050, Solapur (M.H.)
2023-11-22,  11000, Solapur (M.H.)
2023-11-23,  10800, Solapur (M.H.)
2023-11-24,  10400, Solapur (M.H.)
2023-11-25,  10400, Solapur (M.H.)
2023-11-27,  10400, Solapur (M.H.)
2023-11-28,  10400, Solapur (M.H.)
2023-11-29,  10400, Solapur (M.H.)
2023-11-30,  10400, Solapur (M.H.)
2023-12-01,  10500, Solapur (M.H.)
2023-12-02,  10700, Solapur (M.H.)
2023-12-04,  11100, Solapur (M.H.)
2023-12-05,  11100, Solapur (M.H.)
2023-12-06,  10800, Solapur (M.H.)
2023-12-07,  10600, Solapur (M.H.)
