date(YYYY-MM-DD), rate (No Commas), mandi/city/trader
2023-10-03, 6300, Solapur (M.H.)
2023-10-04, 6300, Solapur (M.H.)
2023-10-05, 6300, Solapur (M.H.)
2023-10-06, 6200, Solapur (M.H.)
2023-10-07, 6150, Solapur (M.H.)
2023-10-08, 6100, Solapur (M.H.)
2023-10-10, 6100, Solapur (M.H.)
2023-10-11, 6150, Solapur (M.H.)
2023-10-12, 6200, Solapur (M.H.)
2023-10-13, 6200, Solapur (M.H.)
2023-10-14, 6200, Solapur (M.H.)
2023-10-16, 6200, Solapur (M.H.)
2023-10-17, 6200, Solapur (M.H.)
2023-10-18, 6200, Solapur (M.H.)
2023-10-19, 6250, Solapur (M.H.)
2023-10-20, 6300, Solapur (M.H.)
2023-10-21, 6350, Solapur (M.H.)
2023-10-23, 6350, Solapur (M.H.)
2023-10-25, 6350, Solapur (M.H.)
2023-10-26, 6350, Solapur (M.H.)
2023-10-27, 6350, Solapur (M.H.)
2023-10-28, 6350, Solapur (M.H.)
2023-10-29, 6350, Solapur (M.H.)
2023-10-30, 6350, Solapur (M.H.)
2023-10-31, 6350, Solapur (M.H.)
2023-11-01, 6350, Solapur (M.H.)
2023-11-03, 6350, Solapur (M.H.)
2023-11-04, 6350, Solapur (M.H.)
2023-11-06, 6350, Solapur (M.H.)
2023-11-07, 6350, Solapur (M.H.)
2023-11-08, 6350, Solapur (M.H.)
2023-11-09, 6350, Solapur (M.H.)
2023-11-14, 6350, Solapur (M.H.)
2023-11-15, 6350, Solapur (M.H.)
2023-11-16, 6350, Solapur (M.H.)
2023-11-17, 6350, Solapur (M.H.)
2023-11-18, 6400, Solapur (M.H.)
2023-11-20, 6400, Solapur (M.H.)
2023-11-21, 6400, Solapur (M.H.)
2023-11-22, 6400, Solapur (M.H.)
2023-11-23, 6400, Solapur (M.H.)
2023-11-24, 6400, Solapur (M.H.)
2023-11-25, 6400, Solapur (M.H.)
2023-11-27, 6400, Solapur (M.H.)
2023-11-28, 6400, Solapur (M.H.)
2023-11-29, 6400, Solapur (M.H.)
2023-11-30, 6350, Solapur (M.H.)
2023-12-01, 6350, Solapur (M.H.)
2023-12-02, 6350, Solapur (M.H.)
2023-12-04, 6350, Solapur (M.H.)
2023-12-05, 6250, Solapur (M.H.)
2023-12-06, 6200, Solapur (M.H.)
2023-12-07, 6150, Solapur (M.H.)
2023-12-08, 6150, Solapur (M.H.)
