(YYYY-MM-DD), rate (No Commas), mandi/city/trader
2023-10-03, 54500, Rajkot (G.J.)
2023-10-04, 54500, Rajkot (G.J.)
2023-10-05, 55000, Rajkot (G.J.)
2023-10-06, 55500, Rajkot (G.J.)
2023-10-07, 55000, Rajkot (G.J.)
2023-10-09, 54000, Rajkot (G.J.)
2023-10-10, 54000, Rajkot (G.J.)
2023-10-11, 53000, Rajkot (G.J.)
2023-10-12, 51000, Rajkot (G.J.)
2023-10-13, 51500, Rajkot (G.J.)
2023-10-14, 52500, Rajkot (G.J.)
2023-10-16, 53750, Rajkot (G.J.)
2023-10-17, 54500, Rajkot (G.J.)
2023-10-18, 54000, Rajkot (G.J.)
2023-10-19, 53000, Rajkot (G.J.)
2023-10-20, 51500, Rajkot (G.J.)
2023-10-21, 51500, Rajkot (G.J.)
2023-10-23, 51000, Rajkot (G.J.)
2023-10-25, 51000, Rajkot (G.J.)
2023-10-27, 44000, Rajkot (G.J.)
2023-10-28, 44000, Rajkot (G.J.)
2023-10-29, 44200, Rajkot (G.J.)
2023-10-30, 44200, Rajkot (G.J.)
2023-10-31, 41000, Rajkot (G.J.)
2023-11-01, 41900, Rajkot (G.J
2023-11-03, 41900, Rajkot (G.J.)
2023-11-04, 39000, Rajkot (G.J.)
2023-11-05, 40000, Rajkot (G.J.)
2023-11-06, 40000, Rajkot (G.J.)
2023-11-07, 43000, Rajkot (G.J.)
2023-11-08, 45500, Rajkot (G.J.)
2023-11-09, 43750, Rajkot (G.J.)
2023-11-18, 42000, Rajkot (G.J.)
2023-11-20, 42500, Rajkot (G.J.)
2023-11-21, 45500, Rajkot (G.J.)
2023-11-22, 45750, Rajkot (G.J.)
2023-11-23, 46000, Rajkot (G.J.)
2023-11-24, 46000, Rajkot (G.J.)
2023-11-25, 46000, Rajkot (G.J.)
2023-11-27, 45500, Rajkot (G.J.)
2023-11-28, 46000, Rajkot (G.J.)
2023-11-29, 46000, Rajkot (G.J.)
2023-11-30, 45500, Rajkot (G.J.)
2023-12-01, 44500, Rajkot (G.J.)
2023-12-02, 44200, Rajkot (G.J.)
2023-12-04, 44500, Rajkot (G.J.)
2023-12-05, 42000, Rajkot (G.J.)
2023-12-06, 39000, Rajkot (G.J.)
2023-12-07, 38750, Rajkot (G.J.)
2023-12-08, 38000, Rajkot (G.J.)
2023-12-09, 37500, Rajkot (G.J.)
2023-12-11, 37500, Rajkot (G.J.)
2023-12-12, 37200, Rajkot (G.J.)
2023-12-13, 37250, Rajkot (G.J.)
2023-12-14, 37500, Rajkot (G.J.)
2023-12-15, 37800, Rajkot (G.J.)
2023-12-16, 38000, Rajkot (G.J.)
2023-12-18, 37750, Rajkot (G.J.)
2023-12-19, 37000, Rajkot (G.J.)
2023-12-20, 37000, Rajkot (G.J.)
2023-12-21, 36500, Rajkot (G.J.)
2023-12-22, 36250, Rajkot (G.J.)
2023-12-23, 36500, Rajkot (G.J.)
2023-12-25, 36000, Rajkot (G.J.)
2023-12-26, 36000, Rajkot (G.J.)
2023-12-27, 35000, Rajkot (G.J.)
2023-12-28, 33000, Rajkot (G.J.)
2023-12-29, 30000, Rajkot (G.J.)
2023-12-30, 30000, Rajkot (G.J.)
2024-01-01, 29000, Rajkot (G.J.)
2024-01-02, 28500, Rajkot (G.J.)
2024-01-03, 28500, Rajkot (G.J.)
2024-01-04, 29750, Rajkot (G.J.)
2024-01-05, 30000, Rajkot (G.J.)
2024-01-06, 30000, Rajkot (G.J.)
2024-01-08, 30000, Rajkot (G.J.)
2024-01-09, 29500, Rajkot (G.J.)
2024-01-10, 29000, Rajkot (G.J.)
2024-01-11, 29500, Rajkot (G.J.)
2024-01-13, 28250, Rajkot (G.J.)
2024-01-15, 28250, Rajkot (G.J.)
2024-01-16, 28750, Rajkot (G.J.)
2024-01-17, 29500, Rajkot (G.J.)
2024-01-18, 29750, Rajkot (G.J.)
2024-01-19, 29000, Rajkot (G.J.)
2024-01-23, 28750, Rajkot (G.J.)
2024-01-24, 30500, Rajkot (G.J.)
2024-01-25, 30500, Rajkot (G.J.)
2024-01-27, 30750, Rajkot (G.J.)
2024-01-30, 30500, Rajkot (G.J.)
2024-01-31, 31000, Rajkot (G.J.)
2024-02-01, 31000, Rajkot (G.J.)
2024-02-03, 30500, Rajkot (G.J.)
2024-02-05, 30750, Rajkot (G.J.)
2024-02-06, 30750, Rajkot (G.J.)
2024-02-07, 31000, Rajkot (G.J.)
2024-02-08, 31000, Rajkot (G.J.)
2024-02-09, 31000, Rajkot (G.J.)
2024-02-10, 31000, Rajkot (G.J.)
2024-02-12, 31250, Rajkot (G.J.)
2024-02-16, 28000, Rajkot (G.J.)
2024-02-17, 28000, Rajkot (G.J.)
