date(YYYY-MM-DD), rate (No Commas), mandi/city/trader
2023-06-12, 1470, Nagpur (M.H.)
2023-06-13, 1465, Nagpur (M.H.)
2023-06-14, 1470, Nagpur (M.H.)
2023-06-15, 1470, Nagpur (M.H.)
2023-06-16, 1490, Nagpur (M.H.)
2023-06-17, 1530, Nagpur (M.H.)
2023-06-19, 1535, Nagpur (M.H.)
2023-06-20, 1505, Nagpur (M.H.)
2023-06-21, 1490, Nagpur (M.H.)
2023-06-22, 1480, Nagpur (M.H.)
2023-06-23, 1470, Nagpur (M.H.)
2023-06-24, 1470, Nagpur (M.H.)
2023-06-26, 1470, Nagpur (M.H.)
2023-06-27, 1495, Nagpur (M.H.)
2023-06-28, 1505, Nagpur (M.H.)









