(YYYY-MM-DD), rate (No Commas), mandi/city/trader
2023-10-03, 4945, Latur (M.H.)
2023-10-04, 4945, Latur (M.H.)
2023-10-05, 4855, Latur (M.H.)
2023-10-06, 4855, Latur (M.H.)
2023-10-08, 4900, Latur (M.H.)
2023-10-09, 4900, Latur (M.H.)
2023-10-10, 4750, Latur (M.H.)
2023-10-11, 4760, Latur (M.H.)
2023-10-12, 4760, Latur (M.H.)
2023-10-13, 4850, Latur (M.H.)
2023-10-14, 4900, Latur (M.H.)
2023-10-16, 4880, Latur (M.H.)
2023-10-17, 4860, Latur (M.H.)
2023-10-18, 4880, Latur (M.H.)
2023-10-19, 4880, Latur (M.H.)
2023-10-20, 4940, Latur (M.H.)
2023-10-21, 5050, Latur (M.H.)
2023-10-23, 4950, Latur (M.H.)
2023-10-25, 4900, Latur (M.H.)
2023-10-26, 5050, Latur (M.H.)
2023-10-27, 5050, Latur (M.H.)
2023-10-28, 5030, Latur (M.H.)
2023-10-30, 5050, Latur (M.H.)
2023-10-31, 5050, Latur (M.H.)
2023-11-01, 5020, Latur (M.H.)
2023-11-02, 5200, Latur (M.H.)
2023-11-03, 5030, Latur (M.H.)
2023-11-04, 5050, Latur (M.H.)
2023-11-05, 5060, Latur (M.H.)
2023-11-06, 5140, Latur (M.H.)
2023-11-07, 5100, Latur (M.H.)
2023-11-08, 5080, Latur (M.H.)
2023-11-09, 5140, Latur (M.H.)
2023-11-10, 5190, Latur (M.H.)
2023-11-11, 5240, Latur (M.H.)
2023-11-14, 5350, Latur (M.H.)
2023-11-15, 5640, Latur (M.H.)
2023-11-16, 5630, Latur (M.H.)
2023-11-17, 5420, Latur (M.H.)
2023-11-18, 5400, Latur (M.H.)
2023-11-20, 5360, Latur (M.H.)
2023-11-21, 5400, Latur (M.H.)
2023-11-22, 5420, Latur (M.H.)
2023-11-23, 5400, Latur (M.H.)
2023-11-24, 5330, Latur (M.H.)
2023-11-25, 5280, Latur (M.H.)
2023-11-27, 5280, Latur (M.H.)
2023-11-28, 5300, Latur (M.H.)
2023-11-29, 5450, Latur (M.H.)
2023-11-30, 5250, Latur (M.H.)
2023-12-01, 5240, Latur (M.H.)
2023-12-02, 5330, Latur (M.H.)
2023-12-04, 5120, Latur (M.H.)
2023-12-05, 5080, Latur (M.H.)
2023-12-06, 5060, Latur (M.H.)
2023-12-07, 5120, Latur (M.H.)
2023-12-08, 5180, Latur (M.H.)
2023-12-09, 5160, Latur (M.H.)
2023-12-11, 5160, Latur (M.H.)
2023-12-12, 5170, Latur (M.H.)
2023-12-13, 5140, Latur (M.H.)
