(YYYY-MM-DD), rate (No Commas), mandi/city/trader
2023-06-28, 55000, Rajkot (G.J.)
2023-06-29, 55000, Rajkot (G.J.)
2023-06-30, 55500, Rajkot (G.J.)
2023-07-01, 55000, Rajkot (G.J.)
2023-07-03, 55000, Rajkot (G.J.)
2023-07-04, 55500, Rajkot (G.J.)
2023-07-05, 56000, Rajkot (G.J.)
2023-07-06, 58500, Rajkot (G.J.)
2023-07-07, 58000, Rajkot (G.J.)
2023-07-08, 58500, Rajkot (G.J.)
2023-07-10, 58500, Rajkot (G.J.)
2023-07-11, 59500, Rajkot (G.J.)
2023-07-12, 59500, Rajkot (G.J.)
2023-07-13, 57500, Rajkot (G.J.)
2023-07-14, 57000, Rajkot (G.J.)
2023-07-15, 56750, Rajkot (G.J.)
2023-07-17, 58000, Rajkot (G.J.)
2023-07-18, 60000, Rajkot (G.J.)
