date(YYYY-MM-DD), rate (No Commas), mandi/city/trader
2023-08-01,  10600, Nagpur (M.H.)
2023-08-02,  10650, Nagpur (M.H.)
2023-08-03,  10700, Nagpur (M.H.)
2023-08-04,  10800, Nagpur (M.H.)
2023-08-05,  10850, Nagpur (M.H.)
2023-08-07,  10700, Nagpur (M.H.)
2023-08-08,  10600, Nagpur (M.H.)
2023-08-09,  10650, Nagpur (M.H.)
2023-08-10,  10800, Nagpur (M.H.)
2023-08-11,  10825, Nagpur (M.H.)
2023-08-12,  11000, Nagpur (M.H.)
2023-08-14,  11200, Nagpur (M.H.)
2023-08-15,  11600, Nagpur (M.H.)
2023-08-16,  11650, Nagpur (M.H.)
2023-08-17,  11700, Nagpur (M.H.)
2023-08-18,  11750, Nagpur (M.H.)
2023-08-19,  11750, Nagpur (M.H.)
2023-08-21,  11700, Nagpur (M.H.)
2023-08-22,  11700, Nagpur (M.H.)
2023-08-23,  11700, Nagpur (M.H.)
2023-08-24,  11600, Nagpur (M.H.)
2023-08-25,  11600, Nagpur (M.H.)
2023-08-26,  11600, Nagpur (M.H.)
2023-08-28,  11800, Nagpur (M.H.)
2023-08-29,  11800, Nagpur (M.H.)
2023-08-30,  12000, Nagpur (M.H.)
2023-08-31,  12200, Nagpur (M.H.)
2023-09-01,  12300, Nagpur (M.H.)
2023-09-02,  12750, Nagpur (M.H.)
2023-09-04,  12800, Nagpur (M.H.)
2023-09-05,  12900, Nagpur (M.H.)

